#timebase=-589934592(ps)
,#voltbase=10000(mv/100)
#size=4000
-8.000E-02,-0.000
-7.996E-02,-0.000
-7.992E-02,-0.000
-7.988E-02,-0.001
-7.984E-02,-0.001
-7.980E-02,-0.000
-7.976E-02,0.000
-7.972E-02,-0.000
-7.968E-02,-0.001
-7.964E-02,-0.000
-7.960E-02,-0.001
-7.956E-02,-0.001
-7.952E-02,-0.001
-7.948E-02,-0.001
-7.944E-02,-0.001
-7.940E-02,-0.001
-7.936E-02,-0.001
-7.932E-02,-0.001
-7.928E-02,-0.000
-7.924E-02,-0.002
-7.920E-02,-0.001
-7.916E-02,-0.001
-7.912E-02,-0.001
-7.908E-02,-0.001
-7.904E-02,-0.001
-7.900E-02,0.000
-7.896E-02,0.000
-7.892E-02,-0.001
-7.888E-02,-0.001
-7.884E-02,-0.001
-7.880E-02,-0.000
-7.876E-02,-0.000
-7.872E-02,-0.000
-7.868E-02,-0.000
-7.864E-02,0.000
-7.860E-02,-0.001
-7.856E-02,-0.001
-7.852E-02,-0.001
-7.848E-02,-0.002
-7.844E-02,-0.001
-7.840E-02,-0.000
-7.836E-02,-0.001
-7.832E-02,-0.001
-7.828E-02,-0.001
-7.824E-02,-0.001
-7.820E-02,-0.002
-7.816E-02,-0.001
-7.812E-02,-0.001
-7.808E-02,-0.002
-7.804E-02,-0.001
-7.800E-02,-0.001
-7.796E-02,-0.002
-7.792E-02,-0.002
-7.788E-02,-0.001
-7.784E-02,-0.001
-7.780E-02,-0.001
-7.776E-02,-0.001
-7.772E-02,-0.001
-7.768E-02,-0.000
-7.764E-02,-0.000
-7.760E-02,-0.000
-7.756E-02,-0.001
-7.752E-02,-0.001
-7.748E-02,-0.000
-7.744E-02,-0.001
-7.740E-02,-0.001
-7.736E-02,-0.000
-7.732E-02,0.000
-7.728E-02,-0.000
-7.724E-02,-0.000
-7.720E-02,-0.000
-7.716E-02,-0.001
-7.712E-02,0.000
-7.708E-02,-0.000
-7.704E-02,-0.000
-7.700E-02,-0.000
-7.696E-02,-0.001
-7.692E-02,-0.000
-7.688E-02,-0.000
-7.684E-02,-0.001
-7.680E-02,-0.000
-7.676E-02,-0.001
-7.672E-02,-0.001
-7.668E-02,-0.001
-7.664E-02,-0.001
-7.660E-02,-0.002
-7.656E-02,-0.001
-7.652E-02,-0.001
-7.648E-02,-0.002
-7.644E-02,-0.001
-7.640E-02,-0.000
-7.636E-02,-0.000
-7.632E-02,0.000
-7.628E-02,0.000
-7.624E-02,0.000
-7.620E-02,0.000
-7.616E-02,0.000
-7.612E-02,-0.000
-7.608E-02,0.000
-7.604E-02,0.001
-7.600E-02,-0.000
-7.596E-02,0.000
-7.592E-02,-0.000
-7.588E-02,0.000
-7.584E-02,0.000
-7.580E-02,0.000
-7.576E-02,0.000
-7.572E-02,0.000
-7.568E-02,0.000
-7.564E-02,0.000
-7.560E-02,-0.000
-7.556E-02,-0.000
-7.552E-02,-0.000
-7.548E-02,-0.000
-7.544E-02,0.000
-7.540E-02,-0.000
-7.536E-02,0.000
-7.532E-02,0.000
-7.528E-02,0.000
-7.524E-02,0.000
-7.520E-02,-0.001
-7.516E-02,0.000
-7.512E-02,0.000
-7.508E-02,0.000
-7.504E-02,0.000
-7.500E-02,0.001
-7.496E-02,0.000
-7.492E-02,0.000
-7.488E-02,0.000
-7.484E-02,0.000
-7.480E-02,0.000
-7.476E-02,0.001
-7.472E-02,0.001
-7.468E-02,0.002
-7.464E-02,0.002
-7.460E-02,0.001
-7.456E-02,0.001
-7.452E-02,0.002
-7.448E-02,0.001
-7.444E-02,0.001
-7.440E-02,0.001
-7.436E-02,0.002
-7.432E-02,0.002
-7.428E-02,0.002
-7.424E-02,0.002
-7.420E-02,0.001
-7.416E-02,0.002
-7.412E-02,0.002
-7.408E-02,0.001
-7.404E-02,0.001
-7.400E-02,0.000
-7.396E-02,0.001
-7.392E-02,0.001
-7.388E-02,0.000
-7.384E-02,0.002
-7.380E-02,0.001
-7.376E-02,0.002
-7.372E-02,0.002
-7.368E-02,0.002
-7.364E-02,0.002
-7.360E-02,0.002
-7.356E-02,0.002
-7.352E-02,0.002
-7.348E-02,0.002
-7.344E-02,0.002
-7.340E-02,0.002
-7.336E-02,0.002
-7.332E-02,0.002
-7.328E-02,0.002
-7.324E-02,0.002
-7.320E-02,0.001
-7.316E-02,0.001
-7.312E-02,0.001
-7.308E-02,0.000
-7.304E-02,0.001
-7.300E-02,0.000
-7.296E-02,0.001
-7.292E-02,0.001
-7.288E-02,0.001
-7.284E-02,0.002
-7.280E-02,0.002
-7.276E-02,0.002
-7.272E-02,0.001
-7.268E-02,0.002
-7.264E-02,0.002
-7.260E-02,0.002
-7.256E-02,0.002
-7.252E-02,0.002
-7.248E-02,0.002
-7.244E-02,0.002
-7.240E-02,0.002
-7.236E-02,0.002
-7.232E-02,0.002
-7.228E-02,0.002
-7.224E-02,0.002
-7.220E-02,0.002
-7.216E-02,0.002
-7.212E-02,0.003
-7.208E-02,0.002
-7.204E-02,0.002
-7.200E-02,0.002
-7.196E-02,0.002
-7.192E-02,0.002
-7.188E-02,0.002
-7.184E-02,0.001
-7.180E-02,0.001
-7.176E-02,0.001
-7.172E-02,0.001
-7.168E-02,0.002
-7.164E-02,0.001
-7.160E-02,0.000
-7.156E-02,0.001
-7.152E-02,0.001
-7.148E-02,0.002
-7.144E-02,0.002
-7.140E-02,0.002
-7.136E-02,0.002
-7.132E-02,0.001
-7.128E-02,0.001
-7.124E-02,0.002
-7.120E-02,0.001
-7.116E-02,0.001
-7.112E-02,0.000
-7.108E-02,0.001
-7.104E-02,0.001
-7.100E-02,0.000
-7.096E-02,0.001
-7.092E-02,0.000
-7.088E-02,0.000
-7.084E-02,0.000
-7.080E-02,-0.000
-7.076E-02,0.000
-7.072E-02,-0.000
-7.068E-02,-0.000
-7.064E-02,0.000
-7.060E-02,-0.000
-7.056E-02,0.000
-7.052E-02,0.000
-7.048E-02,-0.000
-7.044E-02,-0.000
-7.040E-02,0.000
-7.036E-02,0.000
-7.032E-02,-0.000
-7.028E-02,-0.000
-7.024E-02,-0.000
-7.020E-02,-0.000
-7.016E-02,0.000
-7.012E-02,-0.001
-7.008E-02,-0.001
-7.004E-02,0.000
-7.000E-02,0.000
-6.996E-02,-0.000
-6.992E-02,-0.000
-6.988E-02,-0.000
-6.984E-02,-0.000
-6.980E-02,-0.000
-6.976E-02,-0.000
-6.972E-02,-0.000
-6.968E-02,-0.000
-6.964E-02,0.000
-6.960E-02,-0.000
-6.956E-02,0.000
-6.952E-02,0.000
-6.948E-02,-0.000
-6.944E-02,-0.000
-6.940E-02,-0.001
-6.936E-02,0.000
-6.932E-02,-0.001
-6.928E-02,-0.000
-6.924E-02,0.000
-6.920E-02,-0.001
-6.916E-02,-0.001
-6.912E-02,-0.001
-6.908E-02,-0.001
-6.904E-02,-0.001
-6.900E-02,-0.000
-6.896E-02,-0.001
-6.892E-02,-0.001
-6.888E-02,-0.000
-6.884E-02,-0.000
-6.880E-02,-0.001
-6.876E-02,-0.000
-6.872E-02,-0.000
-6.868E-02,0.000
-6.864E-02,-0.000
-6.860E-02,0.000
-6.856E-02,0.000
-6.852E-02,-0.000
-6.848E-02,-0.001
-6.844E-02,0.000
-6.840E-02,-0.001
-6.836E-02,0.000
-6.832E-02,-0.000
-6.828E-02,0.000
-6.824E-02,0.000
-6.820E-02,-0.001
-6.816E-02,-0.000
-6.812E-02,-0.000
-6.808E-02,0.000
-6.804E-02,-0.000
-6.800E-02,0.000
-6.796E-02,-0.000
-6.792E-02,-0.000
-6.788E-02,-0.000
-6.784E-02,-0.000
-6.780E-02,-0.001
-6.776E-02,-0.000
-6.772E-02,-0.001
-6.768E-02,-0.000
-6.764E-02,0.000
-6.760E-02,0.000
-6.756E-02,-0.000
-6.752E-02,-0.000
-6.748E-02,-0.000
-6.744E-02,-0.001
-6.740E-02,-0.000
-6.736E-02,0.000
-6.732E-02,-0.000
-6.728E-02,-0.000
-6.724E-02,-0.000
-6.720E-02,-0.002
-6.716E-02,-0.000
-6.712E-02,-0.000
-6.708E-02,-0.001
-6.704E-02,-0.000
-6.700E-02,0.000
-6.696E-02,0.000
-6.692E-02,0.000
-6.688E-02,-0.000
-6.684E-02,0.000
-6.680E-02,0.000
-6.676E-02,0.000
-6.672E-02,-0.000
-6.668E-02,-0.001
-6.664E-02,0.000
-6.660E-02,-0.000
-6.656E-02,-0.000
-6.652E-02,-0.000
-6.648E-02,-0.000
-6.644E-02,0.000
-6.640E-02,-0.000
-6.636E-02,0.000
-6.632E-02,-0.000
-6.628E-02,-0.000
-6.624E-02,-0.000
-6.620E-02,0.000
-6.616E-02,-0.001
-6.612E-02,-0.000
-6.608E-02,0.000
-6.604E-02,-0.000
-6.600E-02,0.000
-6.596E-02,0.000
-6.592E-02,-0.000
-6.588E-02,0.000
-6.584E-02,0.000
-6.580E-02,-0.000
-6.576E-02,-0.000
-6.572E-02,0.000
-6.568E-02,-0.000
-6.564E-02,-0.000
-6.560E-02,-0.000
-6.556E-02,-0.000
-6.552E-02,-0.001
-6.548E-02,-0.000
-6.544E-02,0.000
-6.540E-02,0.000
-6.536E-02,0.000
-6.532E-02,0.000
-6.528E-02,0.000
-6.524E-02,-0.000
-6.520E-02,0.000
-6.516E-02,-0.000
-6.512E-02,-0.000
-6.508E-02,0.000
-6.504E-02,0.000
-6.500E-02,0.000
-6.496E-02,0.000
-6.492E-02,0.000
-6.488E-02,0.000
-6.484E-02,0.000
-6.480E-02,0.000
-6.476E-02,0.001
-6.472E-02,0.001
-6.468E-02,0.001
-6.464E-02,0.000
-6.460E-02,0.000
-6.456E-02,0.000
-6.452E-02,0.000
-6.448E-02,0.001
-6.444E-02,0.001
-6.440E-02,0.001
-6.436E-02,0.001
-6.432E-02,0.001
-6.428E-02,0.001
-6.424E-02,0.002
-6.420E-02,0.002
-6.416E-02,0.002
-6.412E-02,0.002
-6.408E-02,0.002
-6.404E-02,0.002
-6.400E-02,0.002
-6.396E-02,0.002
-6.392E-02,0.002
-6.388E-02,0.003
-6.384E-02,0.002
-6.380E-02,0.002
-6.376E-02,0.003
-6.372E-02,0.002
-6.368E-02,0.002
-6.364E-02,0.002
-6.360E-02,0.001
-6.356E-02,0.002
-6.352E-02,0.002
-6.348E-02,0.002
-6.344E-02,0.002
-6.340E-02,0.002
-6.336E-02,0.002
-6.332E-02,0.002
-6.328E-02,0.002
-6.324E-02,0.002
-6.320E-02,0.002
-6.316E-02,0.001
-6.312E-02,0.002
-6.308E-02,0.001
-6.304E-02,0.001
-6.300E-02,0.001
-6.296E-02,0.001
-6.292E-02,0.002
-6.288E-02,0.002
-6.284E-02,0.003
-6.280E-02,0.002
-6.276E-02,0.002
-6.272E-02,0.003
-6.268E-02,0.003
-6.264E-02,0.003
-6.260E-02,0.003
-6.256E-02,0.002
-6.252E-02,0.003
-6.248E-02,0.002
-6.244E-02,0.003
-6.240E-02,0.003
-6.236E-02,0.003
